"","variable","Group1","value"
"1","arthrodermataceae","Healthy Control",3.2258064516129
"2","pyronemataceae","Healthy Control",0
"3","filobasidiales","Healthy Control",0
"4","aspergillaceae","Healthy Control",3.58252001866766
"5","malasseziaceae","Healthy Control",28.602505118357
"6","xylariaceae","Healthy Control",0
"7","nectriaceae","Healthy Control",7.1808990338651
"8","gymnoascaceae","Healthy Control",5.14766048312362
"9","pleosporaceae","Healthy Control",5.86891687292955
"10","trichomeriaceae","Healthy Control",0.0130072840841068
"11","tricholomataceae","Healthy Control",3.12515083504774
"12","saccharomycetaceae","Healthy Control",0.316749334593846
"13","helotiaceae","Healthy Control",1.14014234682733
"14","hydnangiaceae","Healthy Control",0.191504224945753
"15","cladosporiaceae","Healthy Control",41.4643624350039
"16","thermoascaceae","Healthy Control",0.140775560941547
"17","clavicipitaceae","Healthy Control",0
"18","tremellales","Healthy Control",0
"19","sporidiobolales","Healthy Control",0
"20","didymellaceae","Healthy Control",0
"21","arthrodermataceae","Prostate cancer",3.33333333333333
"22","pyronemataceae","Prostate cancer",5.62129503755335
"23","filobasidiales","Prostate cancer",6.24275244281511
"24","aspergillaceae","Prostate cancer",5.45181662363001
"25","malasseziaceae","Prostate cancer",24.3638336281258
"26","xylariaceae","Prostate cancer",4.81062974860142
"27","nectriaceae","Prostate cancer",20.0883481831359
"28","gymnoascaceae","Prostate cancer",2.08351028063794
"29","pleosporaceae","Prostate cancer",14.7074434747547
"30","trichomeriaceae","Prostate cancer",0
"31","tricholomataceae","Prostate cancer",1.54316719748571
"32","saccharomycetaceae","Prostate cancer",0.388754085208642
"33","helotiaceae","Prostate cancer",0
"34","hydnangiaceae","Prostate cancer",0.833333333333333
"35","cladosporiaceae","Prostate cancer",2.50720551519957
"36","thermoascaceae","Prostate cancer",0
"37","clavicipitaceae","Prostate cancer",2.59259259259259
"38","tremellales","Prostate cancer",0
"39","sporidiobolales","Prostate cancer",0
"40","didymellaceae","Prostate cancer",2.0986511902592
