"","variable","Group1","value"
"1","phoma","Healthy Control",0
"2","trichophyton","Healthy Control",1.6291922181339
"3","cryptococcus","Healthy Control",0
"4","cladosporium","Healthy Control",42.3216458159533
"5","aspergillus","Healthy Control",1.70445608760895
"6","bipolaris","Healthy Control",0
"7","mycena","Healthy Control",2.95062749100667
"8","alternaria","Healthy Control",5.88465525362304
"9","pyronema","Healthy Control",0
"10","metarhizium","Healthy Control",0
"11","cudoniella","Healthy Control",1.41110668955716
"12","saccharomyces","Healthy Control",0.186737558404143
"13","byssochlamys","Healthy Control",0.398895415122546
"14","gymnoascus","Healthy Control",5.55343759306545
"15","rhodotorula","Healthy Control",0
"16","knufia","Healthy Control",0
"17","malassezia","Healthy Control",29.2716414626026
"18","fusarium","Healthy Control",5.10775251212261
"19","xylaria","Healthy Control",0
"20","hydnangium","Healthy Control",0.00378434090188142
"21","penicillium","Healthy Control",3.57606756189781
"22","phoma","Prostate cancer",1.96201319228088
"23","trichophyton","Prostate cancer",3.33333333333333
"24","cryptococcus","Prostate cancer",6.6693330157034
"25","cladosporium","Prostate cancer",3.03488568780559
"26","aspergillus","Prostate cancer",4.69192148422974
"27","bipolaris","Prostate cancer",11.4268957918585
"28","mycena","Prostate cancer",1.75761714769307
"29","alternaria","Prostate cancer",3.15801075063181
"30","pyronema","Prostate cancer",5.28853405196584
"31","metarhizium","Prostate cancer",2.33333333333333
"32","cudoniella","Prostate cancer",0
"33","saccharomyces","Prostate cancer",0.601099625515898
"34","byssochlamys","Prostate cancer",0
"35","gymnoascus","Prostate cancer",2.08333333333333
"36","rhodotorula","Prostate cancer",1.48148148148148
"37","knufia","Prostate cancer",0
"38","malassezia","Prostate cancer",20.6383332036488
"39","fusarium","Prostate cancer",22.7795662749976
"40","xylaria","Prostate cancer",4.31138611019638
"41","hydnangium","Prostate cancer",1.11558884865766
"42","penicillium","Prostate cancer",0
