"","variable","Group1","value"
"1","knufia capronia peltigerae","Healthy Control",0.0129377955316626
"2","alternaria crivellia papaveracea","Healthy Control",5.98205443556763
"3","aspergillus flavus","Healthy Control",1.65776147078911
"4","saccharomyces cerevisiae","Healthy Control",0.314968455677485
"5","cryptococcus ater","Healthy Control",0
"6","cudoniella clavus","Healthy Control",1.40850419862301
"7","fusarium cerealis","Healthy Control",1.29579864131969
"8","byssochlamys nivea","Healthy Control",0.458985307218851
"9","penicillium commune","Healthy Control",3.57103084486998
"10","mycena sp.","Healthy Control",3.18342566532226
"11","alternaria sp.","Healthy Control",0.263411058496834
"12","rhodotorula mucilaginosa","Healthy Control",0
"13","malassezia restricta","Healthy Control",27.6738251542119
"14","cryptococcus dejecticola","Healthy Control",0
"15","cladosporium sphaerospermum","Healthy Control",0
"16","phoma herbarum","Healthy Control",0
"17","aspergillus eurotium rubrum","Healthy Control",0
"18","trichophyton rubrum","Healthy Control",1.62935990932321
"19","cladosporium cladosporioides","Healthy Control",43.5284447924814
"20","hydnangium sp.","Healthy Control",0.186249534749018
"21","bipolaris tetramera","Healthy Control",0
"22","xylaria hypoxylon","Healthy Control",0
"23","pyronema domesticum","Healthy Control",0
"24","metarhizium anisopliae","Healthy Control",0
"25","fusarium merismoides","Healthy Control",3.535659785001
"26","gymnoascus reesii","Healthy Control",5.297582950817
"27","fusarium gibberella pulicaris","Healthy Control",0
"28","knufia capronia peltigerae","Prostate cancer",0
"29","alternaria crivellia papaveracea","Prostate cancer",0
"30","aspergillus flavus","Prostate cancer",0.835370418932061
"31","saccharomyces cerevisiae","Prostate cancer",0.594537994255871
"32","cryptococcus ater","Prostate cancer",6.93261905427011
"33","cudoniella clavus","Prostate cancer",0
"34","fusarium cerealis","Prostate cancer",0
"35","byssochlamys nivea","Prostate cancer",0
"36","penicillium commune","Prostate cancer",0
"37","mycena sp.","Prostate cancer",1.5271519688467
"38","alternaria sp.","Prostate cancer",3.13886124490698
"39","rhodotorula mucilaginosa","Prostate cancer",1.33333333333333
"40","malassezia restricta","Prostate cancer",25.2083334830369
"41","cryptococcus dejecticola","Prostate cancer",0
"42","cladosporium sphaerospermum","Prostate cancer",2.44318181824595
"43","phoma herbarum","Prostate cancer",1.68488158949761
"44","aspergillus eurotium rubrum","Prostate cancer",4.61760187021241
"45","trichophyton rubrum","Prostate cancer",3.33333333333333
"46","cladosporium cladosporioides","Prostate cancer",0.0819864818226029
"47","hydnangium sp.","Prostate cancer",0.835370418932061
"48","bipolaris tetramera","Prostate cancer",10.771598944741
"49","xylaria hypoxylon","Prostate cancer",5.15114592015675
"50","pyronema domesticum","Prostate cancer",5.0790630926272
"51","metarhizium anisopliae","Prostate cancer",2.33903717300977
"52","fusarium merismoides","Prostate cancer",18.2492343787787
"53","gymnoascus reesii","Prostate cancer",2.08333333333333
"54","fusarium gibberella pulicaris","Prostate cancer",0.426690814394024
